gid spike-times
228 332.7757859430422,619.7111909938562,3813.389378563545,5368.98744447115,6922.034538061811,7858.855079698641,7962.474403804181,8021.327244929627,8272.392228704843,11701.682318490002,12722.914529528105,13766.077164188062,14554.363183836029
229 280.64722227024765,875.4761337580842,3251.5042194634434,3721.5407705554817,4723.427628110556,5722.301597392466,7451.25881920003,8461.14704564956,8730.72973586728,8971.613055933765,12508.814084524009,12799.145861339332
230 1166.4057392039472,6575.144526150361,7629.343743691818,10133.56805969199,11402.647308596468,12209.658668826914,12270.227265393221,13554.604658134755
231 42.756313819476055,1313.7851986535532,3794.477900243154,7600.333167330337
232 849.6716326140605,3561.6692095055805,5563.8360193641865,10196.307319414922,10750.63854674129,11090.641475365917,11524.359704287413,13642.362889375709,14082.549385482433
233 987.3068860352399,2554.6724640110306,4643.220365631708,7591.174259686951,10158.66210310884,12918.069017260073,13209.57807703298,13222.044335291093
234 1964.5405223111984,4288.314948742205,6004.776872364273,6197.162066903444,6657.692742605571,6795.510812188855,14394.993989997442
235 1355.0579613484879,1394.424408523307,2324.598259441942,4569.93126081791,9846.123773984466,11010.15246423662
236 1371.0387142795375,6723.565869080467,7571.945171998517,7740.843874714283
237 1805.653653342163,4157.368257924497,9232.695238500579,10482.410259738726,11282.796217839115,13223.30447765406
238 1658.3796885877487,2092.6603370672933,2401.2102793296226,3066.744045882446,4357.177699421477,6101.303856787099,6606.143820525253,6850.29482798812,8563.90599673982,9167.87552178412
239 3685.7023634498896,5514.394927320233,6910.689178260069,11393.917578527664,13556.018572427283
240 2825.1857951525685,5225.1853805956835,8193.989067410372,11292.208135531813,11524.379372961444
241 168.16905327425297,2214.776668581285,6865.421248105108,8571.265237992415,12815.067026386776,14373.495432311574
242 212.47708516118493,1496.9226628536087,2075.0937918575523,2445.576118272524,6321.268670318752,11613.060565320255,13946.598907996115
243 1465.5911365649713,2504.838217479526,3975.503355085814,5746.731890837547,6981.234761383237,7100.513954440751,7684.568596051258,8327.794075127887,9351.986190136351,11810.229541377517,12799.437065703496,13448.170363809293,14388.907295061563
244 911.9614534603688,2528.3793436082005,2917.0593004752905,8907.330811504342,9182.060230233234,14893.127550811463
245 154.79065710149206,338.6838813984488,1145.220554408179,4389.0004914111405,5938.616622774609,10014.153504901336,10743.93023670982,10889.64046183364
246 290.060086383804,2679.2457914242345,5162.7534815925865,9591.359455967147,11979.091437316758,14513.344508006508
247 549.2367485283764,2733.639425269601,6881.342269744692,7343.888589821694,10272.812892252501,10839.09162698267,14081.403459729698
248 6469.249748440658,9754.73332378804,9990.848460119902,11408.106838729494
249 958.1171549513143,1446.555725946956,1927.836930047253,2338.002743926261,2519.6441349017846,6213.283543335867,12845.295462334145,13029.407326037122
250 314.39863139807426,1106.975437129063,3026.805384283387,3843.2716147687966,4724.656882524447,5843.737532884885,11440.898111781507,12225.496661086761,14060.053087372446,14459.406939190925,14784.402162816647
251 3417.1594485656888,5036.894170861566,5898.282301124575,6597.034101034532,9277.170934778027,11011.537606907727,12637.091830594563
252 1304.1752914315848,3377.9296491322916,5571.586447217414,7127.556905252566,11934.172300648934,12828.40934007035
253 1619.0091095541352,3474.58655308188,4528.37648648253,4570.751162266831,6298.782576079497,7523.515447781875,8542.74869153212,11353.846183175545,12637.376372555353
254 1229.4095849282444,9436.499244237308,10800.242489019529,12096.87495877955,12386.819602737483
255 928.785887969428,967.9567750718395,3271.131912795502,3491.881562039861,5957.2275133009325,6737.770869440563,11646.612032244211,12201.577548175268,12559.010675301224,13922.422584263377
256 3484.7197401401,8389.719788499307,11608.810159519955
257 834.2490615431874,2521.9318457502745,3529.1499767321234,5719.392972567629,6865.99400450796,8421.259022763723,10164.35108909255,11575.766180525177,12493.771821338303,13176.372718701947
258 48.54656779434122,729.8825643065907,2592.3047968234514,4624.747471402668,4729.048773421134,4986.660735868921,5599.139914834775,6806.560557933698,11990.81620532894,13931.500232447139
259 2928.56591551032,7587.168905798753,8393.275023624476,10401.69842540555,10408.521469395455,12049.486421705962,14804.083601963554
260 3463.592754045962,6227.262373075877,6607.3787489699225,6989.111249406863,11453.35729187513,11787.442909747791,12262.79696656953
261 3216.2798250802457,5532.026605741897,5955.4015300294395,7611.903539232628,9136.424379538297,9157.127949421074,9769.582490048648,10826.396721118088,11010.999695009414
262 446.84426748748274,510.9275686553113,1394.6087525677292,7583.784036111096,11950.258448931441,12009.061582539902,12048.131859983187
263 2595.91530488579,3685.5584304394324,4659.68413900546,7014.992695249669,7419.481326779743,9179.883424220901,12125.983630221608
264 228.28855584264977,5539.559287594821,5779.123056933042,5962.421780047328,7556.911694452082,12061.49660433233,12332.136157439727,12393.986457343679,14269.375003442803
265 120.19959389228102,2168.3817662790566,2339.7520177236624,3185.237155089393,3349.3956346178684,4496.110020962757,5422.804801353956,6841.7000037232365,13085.261855190798
266 346.4643141288042,4643.696242374167,5540.698647385094,6115.829495184382,8283.062278094952,11943.76551464722,13536.178720824328
267 4965.1684739153825,7593.536062607638,8829.92353034282,9853.105657930217,11674.802883569191,11690.383537297108,12802.241395959083
268 96.43384281367673,678.5190866380143,2440.4568186675506,2991.533062365081,3477.511002873088,5250.0937368645045,6309.181937583651,13468.39930840971,13949.208496267536,14107.356431164682,14424.754276419848
269 1012.3500668077223,5745.93386280181
270 4965.151950069322,6666.168871855252,7464.236686833928,12751.40899317553
271 717.7392400377609,1449.9173552635752,3874.222195342505,4877.403852314137,11895.753688927674,12264.126120888803,14410.001254803752
272 2532.5130532250855,4898.141852371852,6414.918596782619,8559.279142367908,11693.62957554599,11792.219331334429
273 243.20711397311413,2407.384634229741,2909.1402445498165,10178.5239554921,12270.143558634722,12508.011989419665,13383.815922440455,14568.015469630893
274 3104.4643046436126,3838.581888733952,5137.672303258194,5897.927961902732,7135.376561629377,9062.231305420699,14986.293847761464
275 3588.437767685245,8015.52264188484,9508.610525871729,13093.491260161669,14441.259569292944
276 5775.694055653104,11542.122714595907
277 741.9132666054147,1134.3927770706914,5024.482431699016,10918.205486745317,11416.78787249891,12658.001010690867,13536.202347732305
278 1349.5896440495717,3362.4207983318165,8411.281765720338,8413.240821768013,9099.188988969794,12473.963986059349,12611.645993351163
279 1440.9616002573011,3154.27806795945,3372.545185042125,4202.562339167428,8670.93456384043,10570.756102919819,11629.168896569352
280 730.9415490224743,3398.0239329934893,4225.687292143188,4471.335547583562,10196.005605276954,10995.00084075651
281 383.5848845110011,1322.9947477946846,2602.365305012354,4649.765003675081,4725.124241232336,8455.788657918305,10830.622607006488,10891.95686916665,12638.008734133375,14956.603852236742
282 1261.599734752874,3121.6138571086676,3234.99359360916,4478.357367555829,6841.402317862025,8557.13654364045,9344.317180620541,9459.77063919788
283 1656.1121434508773,4937.776925076316,5552.22660398564,10900.93466903607,13306.512387092087
284 147.0866025371293,2377.4459491955163,2566.2031445096795,2736.9282086374083,5154.772900432095,9083.271855052371,9785.623067286479,10790.127172487757,14071.499326011692
285 1836.5482976198869,2570.276253605975,9017.369523210355,11457.355858804056
286 4373.882259368636,4939.222006717663,8069.951864216524,9585.540558355677,10950.755588520162,11516.994759421526
287 1181.009167686761,4477.779648805126,5142.66429115027,5776.098578444791,7516.447010515054,8424.561096727202,10171.082420995303,11110.952242798208
288 8686.743989176373,10339.256890909615,10370.107271840829,12751.377163140327,12801.421813376417,13000.12350208201,13876.220614671623
289 785.0226038440999,1438.4660470971523,1669.0766509722896,3828.3514116537535,4949.923932200685,5685.284049496959,8932.698277331529,11279.480495105774,13743.932725201068
290 800.1715052655844,2640.5124806872213,3235.3492217535554,5995.740338825588,6551.179755492972,7789.824604484233,10575.194837264396,11093.130320409024,11265.431982906282,12376.439032884255,12382.002428846956
291 775.5130109901629,2137.429397818972,2325.8090949443836,2609.139989369199,3822.6210441962503,4900.934994187247,5145.535561859634,5779.334485833856,5808.353041099745,7204.753276663179,8011.489047363446,9506.484835512707,11742.915918133956,14918.41025754897
292 517.6114584331103,2373.784767504053,3943.7924051457694,4352.590290257628,4971.3393993887985,7469.965003223975,10073.065556403057,10652.466912204598
293 191.8649453494325,236.88892083532127,5610.015979165042,6881.053595049127,8426.159256069808,8958.939188635455,9601.860831620947,10521.830039231587,13012.71303234139
294 724.0474412270876,2125.5661953837844,2455.1170723087544,5519.113508698914,9982.713720876862
295 6163.765082152598,6909.8523769374815,7382.997819961768,11241.353227562278,12947.296590033904,13475.445006990782
296 1346.829053627141,8423.288860812696,8545.551199712183,9805.673441292245,11272.221006622685,11597.991584783704,12344.576433296153,13520.860519395892,13903.978281759504
297 427.5109565558273,2465.2044326541804,2923.0030756278793,3485.569552486014,8767.577739708773,8832.885499701788,8988.884046387146,9217.237549991387,9604.923424239742
298 2283.0695157072646,4680.3835629249825,5530.584684141134,5642.668590247478,6704.398790181072,8416.781541032715,8972.142887029933,9226.956324001974,9305.672890963126,10323.686747621397,10372.032892002602
299 8980.46975389559,12198.797270354899
300 229.24140945743738,689.2819647367753,1126.3822889129403,1974.779059661948,2521.8469674205235,5142.5572485336,8326.618734771855,12424.688757942462,12844.041293243454,13179.166457759835,13880.067423880459,14807.258296548276
301 4869.455652057829,7115.78997529234,7910.534547135545,13769.614517948896
302 650.4794482318877,1497.7289277587142,1656.4659777272482,1986.8178527347168,3175.125072753507,6041.94200075919,7656.673043664532,8983.960271217367,11719.464478017948,12789.065280409186,13242.773412115503
303 1351.192639658489,2310.18060317024,3656.843458407892,5929.727927583418,6455.779249949207,14222.655329406889
304 1229.094672629099,2325.019683651117,3507.7580606531756,8981.672756910724,10056.974788181298,10348.025687601503,10530.08812067006,11160.853468286068,14862.29745714937
305 629.0392028306961,4482.367996233804,7363.502048617632,13147.61895310565,13510.516460968665,14113.975124402827
306 364.1046289062053,3919.4856197899967,5033.065860201035,10040.145905293466,10543.077288226204,11426.698039145305,13672.253020317774
307 3718.6039757902736,4549.727438813463,5174.4164578765485,8616.398882031765
308 3336.4185561269715,6220.474168836077,6646.7321518447225,14256.135716897163
309 3013.0247994938154,5684.031510302427,7018.137238109342,7668.3560689551705,9303.27828958595,10091.3143625527,12110.943676993198,13272.197598282564,14610.877422175095
310 2523.2343805637383,4033.6585974049917,4531.072538132956,4603.090436706287,4716.184120286319,4861.684839983231,7796.226432655158,7939.697866411851,13372.392766540284,13602.071827326112,14426.265044398217
311 1056.5598128896388,2707.393808259394,3075.9674220767997,12282.793480954875,14198.649625154725,14309.86798522368
312 3042.0926313743867,5215.681613627179,6038.735669460312,8765.9092804028,9192.638283581551,10318.154147464098,12170.196046573,12358.299757652076
313 5042.304116791772,9714.62691821188,12339.18768289805,12917.798111672568
314 727.8276846230964,3629.336950370341,3678.1557647237837,5713.952394997326,6873.545069529536,7141.584553458663,10326.483619892142,14166.382454971132,14324.563945323678
315 114.83021316562107,2711.242705092447,4472.867395487058,5004.292596747742,6381.714565856627,12817.735693765193,14786.76428951607
316 3750.7060184789516,3817.157821450826,6204.005082451323,6677.809614569758,11454.383745791563,11754.826175327094,12764.723566616127,13198.993813974952
317 1081.7041959612934,2949.559135614647,9473.535778951067,11405.414269091678
318 1572.8237918499444,2528.5839259957584,6658.314229040502,7989.134912151955,8060.996392205354,8899.712063459083,9336.495620037775,13812.116987776833
319 1128.7087055086497,1771.6280102547992,2531.229093889461,6066.182946715393,7394.942769289106,9265.368069136926,12022.22989879594,13249.649873583492,13927.900333641066
320 1723.094537187547,2037.3042047185802,2465.5161508634346,5292.7183608817195,8245.784963973447,10644.242363452959,11193.4518389156,11541.13962249548,11909.5044089625
321 1144.408946269734,4585.776646191246,7288.317010269548,7453.7639861492125,9048.116381348445,9309.383632068839,11315.206126225963,11377.165976920278,11770.687644084615,13184.738918217356,14565.36726616565
322 2632.8219907100565,4170.719010592747,4875.1872184519525,8138.766791616904,8214.879485416512,8990.223595496043,10575.980061154607,11520.817300885736
323 1069.7518862275267,1316.127858200548,2097.406297378638,2253.7595013465548,3494.9025842511633,4261.145594181982,5834.610931704026,10892.44531566319,12070.194201740136
324 46.27255555452176,2838.5816432184947,6010.7421435393835,6271.099006678872,13449.503250994054
325 388.82406636853995,5756.350627995628,5888.943410701122,6824.589881048012,9047.772977839346,9390.353859619703,9589.78564955636,13381.959709712772,14553.816875426197,14971.846771956534
326 1044.338510734909,1704.5375700148732,1860.4369448376624,2086.7589076490867,3762.0239888429965,4152.492201084314,5613.835985191836,5910.247242154179,11209.897431369835,13442.465303898109
327 3607.6796168676483,4601.147310733787,5187.8088262160045,5398.010071771427,6301.087785665672,6872.300166560342,7216.519621610581,9540.738221482465,12873.346192787016
328 206.63304381438084,4473.002541313269,4755.636474719362,5371.833431979079,8877.723586915523,10418.089536011397,13393.92516815351,14423.56938417478
329 1711.7459620471425,7912.806436859689,8606.06718070801,10070.448242834447,10678.604586918205,12318.565097139863
330 1740.5459067883662,3215.8796183053146,3750.260989992054,4327.156017317768,6270.661298990994,7855.333649822733,8293.726101999906,8436.943177754712,10646.271982910072,12843.017236692773
331 1562.358062160047,5321.705244458493,5675.279940742518,8230.757071402277,8887.664100509224,8980.862943649761,9143.028576694876,9257.052827843307,11099.9229097312,14879.517855407332
332 318.38352734539137,2240.3048503632303,4731.53266123066,4973.988058955538,6279.1009163714525,7040.188013073877,7573.198942958711,7840.406327841037,8510.058178678948,9854.97495586567,11915.03321186958,13705.101196860753
333 675.0517378681386,2108.125039013894,3542.6625075064476,7776.532981157116,8029.760471343915,10978.90415203242,13697.141777949848
334 328.7678589314535,361.73619247513835,3815.0608062140036,5512.740513652908,9397.795249862658,9619.432122163622,10720.728625775613
335 1307.6065994115604,2538.817441524595,2669.8137554884725,3229.432641845139,3297.7418376716005,3884.5376234378036,4020.757920820302,6811.738033185873,7932.562967336672,10380.450329966743,10839.79490917778,11640.803825619943,13473.800773415853,14258.94337881561
336 5048.083946564621,8722.298439784445,10316.2312445256,12255.897472753964,13236.818214916086
337 252.32248422773452,7090.944699066697,7547.680441548735,10318.93390707677,10743.498493993446
338 1112.0405591871106,2563.328312497354,4272.951081996221,6947.707848547761,8860.234739558367,9278.461602248733
339 2009.2239333038235,3951.4345770263612,5013.852239713278,6933.205790796929,7725.434191725761,10172.677992457577,13416.788446071463
340 671.34821933679,2083.5396138511014,5410.801991040909,9751.653235838907
341 2343.473584803781,3539.5237743527923,4460.131409073947,4606.60182260464,4625.599461058097,10920.728865195828
342 2880.9364224808605,7525.035591437126,7690.538190971452,9140.8979243534,11144.332422273592,11359.092278359993
343 2535.34486073493,5923.579218099271,9824.868614010986,10030.87172296272,14721.433750902095
344 2878.8503501076148,2959.8644200390067,3145.282718775372,4902.737127563744,5243.200756842914,8200.35721414922,8382.445800109146,10297.687327543837,11072.740987966881,11331.34830557945,13669.342758797862
345 1495.9804857017696,4483.835292876648,5417.723086290804,5627.532267057664,5970.429255809806,6595.573350132382,9386.730204043744,12908.331020774269,13823.262413965336,14929.265703165074
346 4433.4595970416685,14533.081446567994,14818.821394227636
347 78.3130456826376,3551.4934980612547,6681.563924402273,6720.505465350545,14620.111216184752
348 1976.007090878637,4302.327689242262,7782.6019062332125,10258.22846895993,10502.265050294582,10633.484624552,12315.566331148359,13776.709215673007,14388.17167227247
349 2126.9044640115417,10166.410018108938,13270.710201022626
350 2530.2372099204317,2580.9394116873964,3652.4550975380207,3910.1345866113916,4180.462233667756,5041.885648503637,5195.194896220972,5266.211349777902,6185.657297711641,8336.96397005083,8686.34894788204,13827.21622295467
351 2067.264391432418,3733.341112592463,4657.417304193916,5307.930721674334,6930.919018209062,9491.433807510795,12260.762877739868,13121.910475659763
352 521.1660282422955,4740.270586904752,5483.135685399625,7185.2707138720125,7471.796557379461,9112.526604172952,11877.646894915764,12950.964185916193,13606.822338954466
353 2092.982368773458,4852.444177645871,6464.661773473395,7173.842134473361,11839.903369492584,11945.20522458622,13519.865606465293
354 1756.4929133509431,1795.888924941947,1966.300386306455,1984.613575353879,9598.606455286746,9748.57107277641,12458.747528992239,13687.632237488937
355 706.1374308775548,4049.939941848108,5708.4067265555495,6820.675927940692,7850.754453438925,9558.772959617518,11067.593460348804,11619.161720307839
356 4117.053378091407,5350.003093424311,7497.268827233252,8762.294955944224,9889.108273540793,11520.552429381525
357 1846.2491273998726,4432.080400243371,7045.9966714003285,7827.086502967627,12649.169985688977,12772.151476906136,13729.660927660476,14104.727473911884,14554.707074089374
358 1112.2637503206797,1121.7448833550013,3745.1298619927184,11547.922652340325,11908.11687656116
359 486.2913063612371,2587.3186603913773,6056.055760369552,7474.413266419012,8967.3762305012,8974.520170590245,9587.714464981682,10074.335858206494,11046.83497858464,11323.22764837561,12321.104828700032,14764.89683589147
360 485.29886542140287,2400.811644154733,7594.866891111806,11869.973958600052
361 143.27384265443735,718.5275111846196,1038.0203449358496,2391.821219251837,3654.4876729600974,8022.990691174393,8189.493075740153,9207.767752823665,9514.870839326079
362 508.17555010047397,5802.710070313648,6923.595801973337,7461.5804042274385,10433.84973190908,10492.577271106431,10998.61669367018,12814.33010360879
363 4841.3334201786165,11103.653169705209
364 3173.598535490749,3796.675400888452,7785.877522874287,10942.819300214618
365 56.69447000603133,10031.073756919757,11139.67881211467,13634.859308737452,13731.741496856435
366 1630.0583119532641,1912.875933658473,1991.5611374549349,9207.445314891682,9558.828137717326,10037.440521420966,11925.136870169466
367 855.3121796787942,1860.2527440593408,2089.045983797143,3911.653519012473,5253.154841947207,7382.148713590623,9112.91467269431,9416.49847597158,10510.559804674649,14536.391559584245
368 1751.6766973693263,4438.460001097503,5418.306713084516,6768.482503756495,6936.848036055145,7303.545014798794,12418.808149140594
369 4070.6145839997444,12388.095727940028,14254.122838587939
370 284.97906023663546,5938.297290431329,9072.96624867414,14313.824568376338,14633.944549419095
371 1271.0942919923689,2208.925354758009,4028.778676454012,4453.038314641303,6496.226723818664,7231.463139399629,7303.31209573523,9317.882628885718,11412.442576135361,11546.171890328547,12307.766287580669,13588.586286655456
372 2713.757015941239,6116.213825991823,6288.075842989848,7307.4030006121675,8064.354025012767,10702.809499982839,10966.701053996989,12390.526514007026,12466.890960320537
373 726.6177341064521,2099.10216025009
374 1451.58476080141,3000.911686401655,3065.0436021933765,6357.568456281202,10129.320155880776,12730.474256678832
375 1650.1242864816409,5019.589582266035,5626.424964563665,6060.949467833287,7936.992891867152,8092.222606208014,8473.126335780962,8644.83644782855,12041.063557741329
376 388.5881124087164,2267.6370948211625,3072.6167010914405,12527.165270542206,13226.419079528781,14736.5220840874
377 8048.501210743286,8857.436337327978,9580.165755818849,12629.296696882871,13036.31766965037
378 1135.3202129989268,5433.112593584621,6050.965844728538,7863.591405427483,8416.966880919712,10146.47587767936
379 1747.112699470541,6629.254361527154,9804.10125480159,10279.67002265025,11228.46642325971
380 8603.781216767971,8982.294901167294,12483.238192482786,14482.011759832492,14651.970126876335
381 3950.0334847676318,8553.084537470138,9869.988574718365,10421.713761445377,13692.854914185973
382 8985.766429501897,9494.831469828223,9994.50286740766,10809.233615855293,11365.171023906163
383 1995.0372410372256,6537.516951897441,6714.635597671393,6748.5656934967965,10633.834131002273,12946.382125376758,14082.619513602614,14222.579550719809,14404.666622811737
